date;txVolume(USD);adjustedTxVolume(USD);txCount;marketcap(USD);price(USD);exchangeVolume(USD);realizedCap(USD);generatedCoins;fees;activeAddresses;averageDifficulty;paymentCount;medianTxValue(USD);medianFee;blockSize;blockCount
07/08/2013;796.669.297.708.848;3.949.389.745.287.830;57420;1229098150.0;106.75;0.0;5.949.498.934.228.310;4650.0;31.555.604.250.000.000;75667;373.927.661.364.746;74960;27.056.467.497.499.900;0.0005;25163195;186
08/08/2013;7.165.044.095.156.730;4.004.847.154.633.780;57817;1230325775.0;106.75;0.0;5.954.548.491.565.260;5125.0;4.911.009.386;72376;373.927.661.364.746;72576;2.017.575;0.0005;25928096;205
09/08/2013;5.977.540.536.282.730;29.733.002.892.419.200;49463;1188420290.75;103.07;0.0;596.171.633.273.056;4875.0;438.878.449;64633;373.927.661.364.746;63387;31.842.909.615;0.0005;21871927;195
10/08/2013;4.935.254.038.560.260;26.304.487.537.583.400;51485;1185846830.0;102.8;0.0;5.971.228.616.450.890;5250.0;2.964.591.768;59304;373.927.661.364.746;68737;33.017.428.388;0.0005;23657662;210
11/08/2013;410.477.991.519.302;2.405.390.975.544.840;38206;1188707550.0;103.0;0.0;5.981.483.367.493.990;5400.0;3.284.307.247;54134;373.927.661.364.746;50384;366.375.326;0.0005;17483543;216
12/08/2013;826.819.298.084.955;3.950.233.531.392.010;50012;1.212.313.400.271.940;105.0;0.0;5.990.190.798.631.720;5400.0;2.537.058.276;103392;373.927.661.364.746;90956;4.309.935;0.0005;28977191;216
13/08/2013;13.281.626.720.277.800;8.743.218.027.738.970;52897;1235825441.5;106.99;0.0;6.034.752.913.217.790;4575.0;2.974.852.431;74994;398.123.284.648.324;61770;52.415.535.094;0.0005;25400302;183
14/08/2013;14.049.816.533.302.000;7.924.348.969.209.770;51492;12.659.910.330.618.300;109.56;0.0;6.052.236.884.210.570;4200.0;44.207.608.560.000.000;78215;508.103.390.482.767;63354;65.736;0.0005;24451056;168
15/08/2013;8.494.514.121.851.460;4.743.167.164.432.960;57959;13.011.119.937.441.500;112.56;0.0;6.069.455.263.561.660;4250.0;6.329.990.312;75757;508.103.390.482.767;80266;35.120.926.176.000.000;0.0005;27741336;170
16/08/2013;1.133.645.431.980.240;382.759.548.045.798;70951;12.720.316.826.314.300;110.0;0.0;6.078.140.781.866.980;4200.0;46.947.012.730.000.000;82518;508.103.390.482.767;83450;242.405.163;0.0005;30667147;168
17/08/2013;9.990.348.761.640.450;3.791.545.591.098.190;56356;1260823567.5;108.99;0.0;6.092.648.762.403.760;4750.0;2.892.158.036;61411;508.103.390.482.767;69452;1.079.001;0.0005;24657813;190
18/08/2013;8.459.893.664.012.140;46.089.220.496.300.700;56203;1.304.864.206.746.690;112.75;0.0;6.102.844.555.609.550;4850.0;4.594.836.173;57548;508.103.390.482.767;71632;13.560.715.355.000.000;0.0005;25342627;194
19/08/2013;11.621.503.147.144.100;6.113.169.040.572.980;71137;1312659784.5;113.38;0.0;6.119.887.409.743.380;4425.0;486.487.076;78552;508.103.390.482.767;87311;170.007.629.662;0.0005;31498769;177
20/08/2013;10.769.648.537.039.200;5.186.991.861.793.170;63038;13.782.338.691.444.600;119.0;0.0;6.146.490.214.421.000;4750.0;3.417.570.561;79844;508.103.390.482.767;80813;20.23;0.0005;28779177;190
21/08/2013;14.756.623.613.907.200;7.423.686.769.567.980;60335;14.044.814.822.415.200;121.21;0.0;6.163.223.009.040.730;4900.0;3.214.886.264;82676;508.103.390.482.767;75933;3.224.186;0.0005;27075335;196
22/08/2013;9.510.162.964.750.900;4.795.655.493.263.620;66596;14.293.614.155.088.700;123.3;0.0;6.176.372.226.138.770;5400.0;387.715.512;83887;508.103.390.482.767;82690;26.182.022.598;0.0005;28681938;216
23/08/2013;9.574.043.835.253.110;4.628.207.291.633.470;54999;1.414.900.839.527.420;122.0;0.0;6.193.493.250.272.340;4900.0;3.386.687.545;81888;508.103.390.482.767;71483;30.988;0.0005;26088394;196
24/08/2013;6.195.054.936.366.230;3.426.785.266.036.750;51634;13.750.162.161.189.600;118.51;0.0;6.205.457.296.584.740;4575.0;2.773.017.547;64388;561.167.973.627.713;66880;2.429.277.235;0.0005;24011487;183
25/08/2013;60.939.539.325.569.000;27.938.408.778.476.400;44296;13.880.680.376.807.700;119.6;0.0;6.217.656.288.038.900;3775.0;3.027.034.915;68611;657.500.601.490.849;58191;28.756.460.148;0.0005;21586923;151
